(base) yikai@PauROG:~/repository$ python train_siglip.py --data-dir Flickr8k --text-encoder transformer --epochs 200 --batch-size 64 --output-dir outputs/resnet_transformer_v4_1
/home/yikai/repository/models/transformer_encoder.py:44: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=num_layers)
device=cuda vocab_size=5158 text_encoder=transformer
epoch=038 train_loss=0.0077 val_loss=0.0262 scale=26.71 bias=-11.20 t2i_R@1=14.59 i2t_R@1=14.71 t2i_R@5=34.78 i2t_R@5=36.13 t2i_R@10=46.95 i2t_R@10=47.79
epoch=039 train_loss=0.0076 val_loss=0.0259 scale=27.03 bias=-11.23 t2i_R@1=15.57 i2t_R@1=16.62 t2i_R@5=36.37 i2t_R@5=37.71 t2i_R@10=47.14 i2t_R@10=49.70
epoch=040 train_loss=0.0075 val_loss=0.0260 scale=27.33 bias=-11.27 t2i_R@1=15.33 i2t_R@1=16.17 t2i_R@5=37.43 i2t_R@5=37.14 t2i_R@10=48.55 i2t_R@10=48.81
epoch=041 train_loss=0.0071 val_loss=0.0258 scale=27.66 bias=-11.30 t2i_R@1=15.75 i2t_R@1=14.89 t2i_R@5=36.66 i2t_R@5=37.35 t2i_R@10=48.58 i2t_R@10=48.45
epoch=042 train_loss=0.0071 val_loss=0.0261 scale=27.97 bias=-11.33 t2i_R@1=15.48 i2t_R@1=16.08 t2i_R@5=36.12 i2t_R@5=37.26 t2i_R@10=47.84 i2t_R@10=48.69
epoch=043 train_loss=0.0071 val_loss=0.0260 scale=28.22 bias=-11.37 t2i_R@1=16.84 i2t_R@1=17.00 t2i_R@5=38.84 i2t_R@5=39.20 t2i_R@10=49.05 i2t_R@10=50.51
epoch=044 train_loss=0.0067 val_loss=0.0256 scale=28.57 bias=-11.40 t2i_R@1=16.76 i2t_R@1=16.65 t2i_R@5=38.10 i2t_R@5=38.81 t2i_R@10=49.89 i2t_R@10=49.82
epoch=045 train_loss=0.0068 val_loss=0.0261 scale=28.83 bias=-11.43 t2i_R@1=17.33 i2t_R@1=17.51 t2i_R@5=38.27 i2t_R@5=38.78 t2i_R@10=48.65 i2t_R@10=49.97
epoch=046 train_loss=0.0067 val_loss=0.0264 scale=29.12 bias=-11.47 t2i_R@1=17.01 i2t_R@1=17.99 t2i_R@5=38.39 i2t_R@5=40.24 t2i_R@10=49.91 i2t_R@10=50.30
epoch=047 train_loss=0.0065 val_loss=0.0267 scale=29.42 bias=-11.50 t2i_R@1=17.97 i2t_R@1=18.79 t2i_R@5=38.96 i2t_R@5=40.04 t2i_R@10=49.94 i2t_R@10=49.91
epoch=048 train_loss=0.0066 val_loss=0.0267 scale=29.68 bias=-11.53 t2i_R@1=17.40 i2t_R@1=18.65 t2i_R@5=38.24 i2t_R@5=39.14 t2i_R@10=49.12 i2t_R@10=50.48
epoch=049 train_loss=0.0065 val_loss=0.0263 scale=29.93 bias=-11.57 t2i_R@1=18.20 i2t_R@1=18.68 t2i_R@5=38.91 i2t_R@5=39.98 t2i_R@10=50.48 i2t_R@10=51.52
epoch=050 train_loss=0.0062 val_loss=0.0265 scale=30.19 bias=-11.60 t2i_R@1=17.78 i2t_R@1=17.72 t2i_R@5=39.58 i2t_R@5=39.41 t2i_R@10=50.73 i2t_R@10=50.87
epoch=051 train_loss=0.0063 val_loss=0.0267 scale=30.44 bias=-11.63 t2i_R@1=17.45 i2t_R@1=17.63 t2i_R@5=39.48 i2t_R@5=40.54 t2i_R@10=50.28 i2t_R@10=52.24
epoch=052 train_loss=0.0060 val_loss=0.0262 scale=30.74 bias=-11.66 t2i_R@1=18.81 i2t_R@1=18.88 t2i_R@5=39.51 i2t_R@5=40.63 t2i_R@10=50.19 i2t_R@10=51.64
epoch=053 train_loss=0.0060 val_loss=0.0260 scale=30.99 bias=-11.69 t2i_R@1=18.42 i2t_R@1=18.44 t2i_R@5=39.48 i2t_R@5=41.02 t2i_R@10=50.63 i2t_R@10=52.45
epoch=054 train_loss=0.0061 val_loss=0.0275 scale=31.13 bias=-11.72 t2i_R@1=17.03 i2t_R@1=18.71 t2i_R@5=39.11 i2t_R@5=39.92 t2i_R@10=50.26 i2t_R@10=51.70
epoch=055 train_loss=0.0059 val_loss=0.0269 scale=31.35 bias=-11.75 t2i_R@1=18.52 i2t_R@1=19.42 t2i_R@5=39.88 i2t_R@5=40.90 t2i_R@10=49.89 i2t_R@10=51.58
epoch=056 train_loss=0.0058 val_loss=0.0269 scale=31.52 bias=-11.78 t2i_R@1=18.99 i2t_R@1=19.27 t2i_R@5=39.93 i2t_R@5=41.86 t2i_R@10=50.53 i2t_R@10=52.98
epoch=057 train_loss=0.0056 val_loss=0.0265 scale=31.79 bias=-11.81 t2i_R@1=18.54 i2t_R@1=19.75 t2i_R@5=40.96 i2t_R@5=41.17 t2i_R@10=50.93 i2t_R@10=52.33
epoch=058 train_loss=0.0055 val_loss=0.0275 scale=32.02 bias=-11.84 t2i_R@1=18.49 i2t_R@1=19.09 t2i_R@5=40.42 i2t_R@5=41.05 t2i_R@10=50.01 i2t_R@10=51.82
epoch=059 train_loss=0.0055 val_loss=0.0271 scale=32.23 bias=-11.87 t2i_R@1=18.20 i2t_R@1=18.97 t2i_R@5=40.74 i2t_R@5=41.59 t2i_R@10=51.40 i2t_R@10=51.85
epoch=060 train_loss=0.0055 val_loss=0.0276 scale=32.41 bias=-11.89 t2i_R@1=19.16 i2t_R@1=19.69 t2i_R@5=40.67 i2t_R@5=42.06 t2i_R@10=51.00 i2t_R@10=52.06
epoch=061 train_loss=0.0056 val_loss=0.0271 scale=32.54 bias=-11.92 t2i_R@1=18.84 i2t_R@1=20.61 t2i_R@5=40.62 i2t_R@5=41.92 t2i_R@10=51.25 i2t_R@10=52.27
epoch=062 train_loss=0.0054 val_loss=0.0267 scale=32.71 bias=-11.95 t2i_R@1=18.76 i2t_R@1=20.11 t2i_R@5=40.72 i2t_R@5=42.21 t2i_R@10=51.79 i2t_R@10=52.66
epoch=063 train_loss=0.0053 val_loss=0.0270 scale=32.94 bias=-11.98 t2i_R@1=18.59 i2t_R@1=19.87 t2i_R@5=40.79 i2t_R@5=41.68 t2i_R@10=50.85 i2t_R@10=51.94
epoch=064 train_loss=0.0053 val_loss=0.0269 scale=33.12 bias=-12.00 t2i_R@1=19.80 i2t_R@1=19.18 t2i_R@5=40.57 i2t_R@5=40.87 t2i_R@10=50.90 i2t_R@10=52.45
epoch=065 train_loss=0.0052 val_loss=0.0267 scale=33.33 bias=-12.03 t2i_R@1=18.47 i2t_R@1=20.38 t2i_R@5=40.57 i2t_R@5=42.36 t2i_R@10=51.62 i2t_R@10=53.13
